,cell id,Cell Type,PN_A Convergence,PN_C Convergence,SOM Convergence,PV Convergence,Total Exc Convergence,Total Inh Convergence,Net Exc,net Exc only PV,Total number of connections,Winner connections,is winner?,recieves tone?,disynapses
883,884,PV Cell,183,73,0,21,256,21,235,235,277,25,Loser,does not recieve tone,0
884,885,PV Cell,183,79,0,20,262,20,242,242,282,21,Loser,recieves tone,0
885,886,PV Cell,181,62,0,20,243,20,223,223,263,16,Loser,recieves tone,0
886,887,PV Cell,181,75,0,26,256,26,230,230,282,17,Loser,recieves tone,0
887,888,PV Cell,201,67,0,18,268,18,250,250,286,22,Loser,does not recieve tone,0
888,889,PV Cell,163,69,0,16,232,16,216,216,248,17,Loser,recieves tone,0
889,890,PV Cell,168,78,0,22,246,22,224,224,268,24,Loser,recieves tone,0
890,891,PV Cell,166,67,0,19,233,19,214,214,252,19,Loser,recieves tone,0
891,892,PV Cell,156,69,0,18,225,18,207,207,243,19,Loser,recieves tone,0
892,893,PV Cell,173,60,0,55,233,55,178,178,288,14,Loser,does not recieve tone,0
893,894,SOM Cell,164,70,0,50,234,50,184,184,284,22,Loser,does not recieve tone,0
894,895,SOM Cell,158,65,0,43,223,43,180,180,266,20,Loser,does not recieve tone,0
895,896,SOM Cell,193,63,0,50,256,50,206,206,306,17,Loser,does not recieve tone,0
896,897,SOM Cell,157,63,0,59,220,59,161,161,279,17,Loser,does not recieve tone,0
897,898,SOM Cell,167,78,0,51,245,51,194,194,296,19,Loser,does not recieve tone,0
898,899,SOM Cell,157,62,0,52,219,52,167,167,271,17,Loser,does not recieve tone,0
899,900,SOM Cell,176,63,0,56,239,56,183,183,295,10,Loser,does not recieve tone,0
900,901,SOM Cell,165,70,0,54,235,54,181,181,289,26,Loser,does not recieve tone,0
901,902,SOM Cell,151,64,0,53,215,53,162,162,268,19,Loser,does not recieve tone,0
902,903,SOM Cell,148,77,0,45,225,45,180,180,270,20,Loser,does not recieve tone,0
903,904,SOM Cell,165,64,0,59,229,59,170,170,288,19,Loser,does not recieve tone,0
904,905,SOM Cell,164,71,0,55,235,55,180,180,290,18,Loser,does not recieve tone,0
905,906,SOM Cell,177,69,0,49,246,49,197,197,295,18,Loser,does not recieve tone,0
906,907,SOM Cell,178,68,0,64,246,64,182,182,310,22,Loser,does not recieve tone,0
907,908,SOM Cell,177,79,0,55,256,55,201,201,311,24,Loser,does not recieve tone,0
908,909,SOM Cell,163,74,0,49,237,49,188,188,286,18,Loser,does not recieve tone,0
909,910,SOM Cell,194,79,0,58,273,58,215,215,331,24,Loser,does not recieve tone,0
910,911,SOM Cell,159,67,0,56,226,56,170,170,282,17,Loser,does not recieve tone,0
911,912,SOM Cell,172,62,0,46,234,46,188,188,280,14,Loser,does not recieve tone,0
912,913,SOM Cell,154,56,0,51,210,51,159,159,261,18,Loser,does not recieve tone,0
913,914,SOM Cell,177,65,0,52,242,52,190,190,294,16,Loser,does not recieve tone,0
914,915,SOM Cell,174,68,0,49,242,49,193,193,291,15,Loser,does not recieve tone,0
915,916,SOM Cell,177,75,0,56,252,56,196,196,308,18,Loser,does not recieve tone,0
916,917,SOM Cell,164,61,0,45,225,45,180,180,270,18,Loser,does not recieve tone,0
917,918,SOM Cell,160,71,0,56,231,56,175,175,287,22,Loser,does not recieve tone,0
918,919,SOM Cell,163,66,0,50,229,50,179,179,279,22,Loser,does not recieve tone,0
919,920,SOM Cell,171,62,0,51,233,51,182,182,284,17,Loser,does not recieve tone,0
920,921,SOM Cell,155,78,0,48,233,48,185,185,281,19,Loser,does not recieve tone,0
921,922,SOM Cell,177,64,0,41,241,41,200,200,282,22,Loser,does not recieve tone,0
922,923,SOM Cell,174,66,0,56,240,56,184,184,296,14,Loser,does not recieve tone,0
923,924,SOM Cell,159,68,0,47,227,47,180,180,274,14,Loser,does not recieve tone,0
924,925,SOM Cell,172,73,0,57,245,57,188,188,302,25,Loser,does not recieve tone,0
925,926,SOM Cell,189,66,0,53,255,53,202,202,308,16,Loser,does not recieve tone,0
926,927,SOM Cell,159,62,0,50,221,50,171,171,271,19,Loser,does not recieve tone,0
927,928,SOM Cell,170,76,0,53,246,53,193,193,299,29,Loser,does not recieve tone,0
928,929,SOM Cell,158,72,0,53,230,53,177,177,283,20,Loser,does not recieve tone,0
929,930,SOM Cell,159,67,0,53,226,53,173,173,279,23,Loser,does not recieve tone,0
930,931,SOM Cell,174,74,0,49,248,49,199,199,297,20,Loser,does not recieve tone,0
931,932,SOM Cell,175,66,0,52,241,52,189,189,293,18,Loser,does not recieve tone,0
932,933,SOM Cell,151,55,0,46,206,46,160,160,252,21,Loser,does not recieve tone,0
933,934,SOM Cell,167,65,0,51,232,51,181,181,283,18,Loser,does not recieve tone,0
934,935,SOM Cell,173,71,0,53,244,53,191,191,297,18,Loser,does not recieve tone,0
935,936,SOM Cell,154,71,0,44,225,44,181,181,269,17,Loser,does not recieve tone,0
936,937,SOM Cell,200,65,0,37,265,37,228,228,302,26,Loser,does not recieve tone,0
937,938,SOM Cell,177,65,0,52,242,52,190,190,294,17,Loser,does not recieve tone,0
938,939,SOM Cell,164,70,0,48,234,48,186,186,282,20,Loser,does not recieve tone,0
939,940,SOM Cell,143,73,0,48,216,48,168,168,264,21,Loser,does not recieve tone,0
940,941,SOM Cell,163,71,0,47,234,47,187,187,281,22,Loser,does not recieve tone,0
941,942,SOM Cell,165,75,0,50,240,50,190,190,290,16,Loser,does not recieve tone,0
942,943,SOM Cell,159,60,0,47,219,47,172,172,266,19,Loser,does not recieve tone,0
