,Unnamed: 0,cell id,Cell Type,PN_A Convergence,PN_C Convergence,SOM Convergence,PV Convergence,Total Exc Convergence,Total Inh Convergence,Net Exc,net Exc only PV,Total number of connections,tone ampa,bg ampa,PN ampa,tone nmda,bg nmda,PN nmda,PV gaba,SOM gaba,Hz
1635,1635,1635,PN Type A Cell,192,88,167,200,280,367,-87,80,647,-133.28569066213674,-110.83898289881297,-0.6861623632640377,-42.368753907777055,-48.71160250751141,-0.262952932970676,5.6613263014889155,25.404967992423202,0.2
1670,1670,1670,PN Type A Cell,202,87,148,211,289,359,-70,78,648,-166.6505102421777,-51.12787297386612,-0.729698107710959,-62.6068027479397,-23.44602374504523,-0.29365448584267695,3.252414413637365,0.6375261342493146,
1676,1676,1676,PN Type A Cell,208,93,167,195,301,362,-61,106,663,-179.26539769134345,-74.86390072574945,-2.2465442708249492,-78.9223939667931,-32.12607375027109,-0.8801519020099701,4.806024541214915,0.4489460285638604,0.8
1704,1704,1704,PN Type A Cell,219,75,149,187,294,336,-42,107,630,-202.60403337460042,-123.61003955212111,-0.4623084129538359,-75.2422350628262,-50.41368220525884,-0.19188199328829156,4.631674603153817,0.7007583510889824,0.4
1720,1720,1720,PN Type A Cell,222,69,125,189,291,314,-23,102,605,-132.65472770752237,-149.3964541974424,-0.6124302800128673,-55.00000633486843,-72.1989646491614,-0.25100019743417823,4.371140894663794,10.536470140276625,1.0
1758,1758,1758,PN Type A Cell,199,83,145,202,282,347,-65,80,629,-162.5726806881682,-147.36022909236192,-0.07710873908597755,-63.262064336345034,-71.56338294315522,-0.031290921712426784,4.603647039503923,1.212348676472439,0.6
1772,1772,1772,PN Type A Cell,237,84,160,183,321,343,-22,138,664,-74.47095606840966,-63.32505340714511,-1.5952752451836194,-26.336693026202866,-25.158975572607144,-0.6057247424485019,4.092090325723799,7.370780652769661,
1785,1785,1785,PN Type A Cell,225,77,153,185,302,338,-36,117,640,-134.12138464732107,-82.3322835812421,-0.6193017770078978,-56.173745091034604,-36.78403123130469,-0.2652853269786651,2.6918771220565874,16.592727036876305,0.4
1792,1792,1792,PN Type A Cell,209,75,148,182,284,330,-46,102,614,-106.45717734037878,-76.11280619783876,-1.460725055964386,-44.062652150717035,-33.55689278518155,-0.6135555961592959,0.7968988129955937,16.583300725325582,
1832,1832,1832,PN Type A Cell,205,100,141,194,305,335,-30,111,640,-91.83001564419396,-88.07996174541461,-0.9378021705972414,-34.20493306006275,-47.611533711898964,-0.3755603645954609,0.8092921158360952,7.824024551178707,0.8
1845,1845,1845,PN Type A Cell,198,80,145,193,278,338,-60,85,616,-128.4704800969328,-108.70005003390051,-0.8566858699304273,-45.91819830696641,-51.42831928866191,-0.36293168254783037,3.4946726143870976,1.278637966063404,1.0
1864,1864,1864,PN Type A Cell,211,100,150,201,311,351,-40,110,662,-165.86495409433604,-63.50985247433371,-0.9239033631257763,-64.05810350281281,-27.126839625178405,-0.3598219082321175,3.9946726211048182,0.27484183973968496,0.8
1906,1906,1906,PN Type A Cell,208,73,160,189,281,349,-68,92,630,-108.8635303645049,-144.08325698209256,-1.5604377755841894,-35.17589548125046,-62.34614843824704,-0.6457616182113339,8.428343287165054,7.780061816059006,0.2
1953,1953,1953,PN Type A Cell,214,97,147,196,311,343,-32,115,654,-143.4191619251216,-89.23196462133606,-0.3690422995785503,-66.7402687114899,-43.75050940448943,-0.1450877842413503,9.088622874483688,23.34950978222178,1.4
1964,1964,1964,PN Type A Cell,178,83,149,200,261,349,-88,61,610,-136.23827135879094,-79.24539198836234,-0.4604066820099346,-56.17357900871441,-33.40254406231909,-0.17871070360699362,6.578954976025566,10.993214589965532,0.2
1966,1966,1966,PN Type A Cell,176,79,156,200,255,356,-101,55,611,-87.60416566869988,-161.79775243783916,-1.1146717666114776,-29.378207728108023,-76.79347086486418,-0.44287214254305723,5.9895004795371936,13.224681642013572,0.8
1978,1978,1978,PN Type A Cell,187,79,155,196,266,351,-85,70,617,-80.10004706095306,-172.16875745654588,-0.3172280426780861,-29.251884761645492,-79.42596037576244,-0.12725906505963455,7.799748429355843,9.419834840468845,0.8
1980,1980,1980,PN Type A Cell,201,77,153,187,278,340,-62,91,618,-115.16383844435863,-115.71623466904276,-0.6675926108285919,-47.387196688131645,-51.20212039399604,-0.28779123503905096,4.3549399695778455,0.9174935612293479,0.2
2004,2004,2004,PN Type A Cell,194,93,148,190,287,338,-51,97,625,-90.80676490228707,-145.4876912934239,-3.009283810198324,-32.04077501300538,-68.94489754572984,-1.1074229288883135,3.8362734433058625,1.0281496039980376,0.6
2014,2014,2014,PN Type A Cell,226,62,136,183,288,319,-31,105,607,-112.33131239609185,-139.08171106787296,-1.503299308267976,-38.86820358179891,-69.11904835489217,-0.5646048523249603,2.7485101883760166,10.20570878584504,1.0
2017,2017,2017,PN Type A Cell,199,72,163,176,271,339,-68,95,610,-59.1574976706305,-165.456682571135,-0.6497752701543957,-22.51523785910037,-64.14489461586341,-0.24783047096447197,3.754096863690469,9.926821952781248,0.4
2048,2048,2048,PN Type A Cell,213,82,149,205,295,354,-59,90,649,-139.81325701295086,-183.9154794386353,-1.7432210268956752,-56.82336781173503,-74.80265820883267,-0.7531817974117182,1.4216121487346642,5.7658884200239156,0.6
2096,2096,2096,PN Type A Cell,206,71,156,181,277,337,-60,96,614,-107.92664236977677,-55.764881678587486,-0.27413615321988777,-38.11704425927223,-25.604246367908605,-0.11418212304549137,8.556861171866776,7.41178689773113,
2097,2097,2097,PN Type A Cell,207,86,147,181,293,328,-35,112,621,-55.088524005818755,-138.0184323799809,-1.0650620701120703,-22.814414450518818,-59.4298442819307,-0.47780390040557047,1.109967717459043,0.5512270043030906,0.2
2143,2143,2143,PN Type A Cell,215,85,163,182,300,345,-45,118,645,-102.8853927866244,-110.27483272387722,-1.4756020664129186,-35.45957827929145,-52.389357904822226,-0.5677221534693878,2.9108660381112195,12.91202526139355,0.6
2226,2226,2226,PN Type A Cell,212,85,145,193,297,338,-41,104,635,-66.50345430547343,-81.14752280635128,-1.9169475592631682,-23.157996568451463,-36.19912200995261,-0.7722032158901764,4.84387272403838,9.604509492553499,0.2
2257,2257,2257,PN Type A Cell,213,63,148,185,276,333,-57,91,609,-130.08324378474572,-88.1779346974774,-1.6456130870885322,-45.05088536444766,-38.77778053163858,-0.6818430419558859,1.882287639568374,26.94210174516772,
2268,2268,2268,PN Type A Cell,202,78,136,204,280,340,-60,76,620,-92.33526495106616,-94.79046719053723,-3.87040626533726,-35.77572416870506,-41.8772666478685,-1.4651038166505908,4.69700238267277,1.6462455136100478,
